,Wk_1_Matchups,Wk_2_Matchups,Wk_3_Matchups,Wk_4_Matchups,Wk_5_Matchups,Wk_6_Matchups,Wk_7_Matchups,Wk_8_Matchups,Wk_9_Matchups,Wk_10_Matchups,Wk_11_Matchups,Wk_12_Matchups,Wk_13_Matchups,Wk_14_Matchups,Wk_15_Matchups,Wk_16_Matchups,Wk_17_Matchups,Wk_18_Matchups
0,BAL at NYJ,ARI at LV,ATL at SEA,ARI at CAR,ATL at TB,ARI at SEA,ATL at CIN,ARI at MIN,BAL at NO,ARI at LAR,CAR at BAL,ATL at WAS,BUF at NE,BAL at PIT,ARI at DEN,ATL at BAL,ARI at ATL,ARI at SF
1,BUF at LAR,ATL at LAR,BAL at NE,BUF at BAL,CHI at MIN,BAL at NYG,CHI at NE,BAL at TB,BUF at NYJ,ATL at CAR,CHI at ATL,BAL at JAC,CLE at HOU,CAR at SEA,ATL at NO,BUF at CHI,BUF at CIN,BAL at CIN
2,CLE at CAR,CAR at NYG,BUF at MIA,CHI at NYG,CIN at BAL,BUF at KC,CLE at BAL,CAR at ATL,CAR at CIN,CLE at MIA,CIN at PIT,BUF at DET,DEN at BAL,CLE at CIN,BAL at CLE,CIN at NE,CAR at TB,CAR at NO
3,DEN at SEA,CHI at GB,CIN at NYJ,CLE at ATL,DAL at LAR,CAR at LAR,DET at DAL,CHI at DAL,GB at DET,DAL at GB,CLE at BUF,CHI at NYJ,GB at CHI,HOU at DAL,CIN at TB,DEN at LAR,CHI at DET,CLE at PIT
4,GB at MIN,CIN at DAL,DAL at NYG,DEN at LV,DET at NE,CIN at NO,GB at WAS,CIN at CLE,IND at NE,DEN at TEN,DAL at MIN,CIN at TEN,IND at DAL,JAC at TEN,DAL at JAC,DET at CAR,CLE at WAS,DAL at WAS
5,IND at HOU,HOU at DEN,DET at MIN,JAC at PHI,HOU at JAC,DAL at PHI,HOU at LV,DEN at JAC,LV at JAC,DET at CHI,DET at NYG,DEN at CAR,JAC at DET,KC at DEN,DET at NYJ,GB at MIA,DAL at TEN,DET at GB
6,JAC at WAS,IND at JAC,GB at TB,KC at TB,IND at DEN,DEN at LAC,IND at TEN,GB at BUF,LAR at TB,HOU at NYG,KC at LAC,GB at PHI,KC at CIN,LV at LAR,IND at MIN,HOU at TEN,DEN at KC,HOU at IND
7,KC at ARI,LAC at KC,HOU at CHI,LAR at SF,LV at KC,JAC at IND,KC at SF,LV at NO,LAC at ATL,IND at LV,LV at DEN,HOU at MIA,LAC at LV,MIA at LAC,KC at HOU,JAC at NYJ,IND at NYG,KC at LV
8,LV at LAC,MIA at BAL,JAC at LAC,LAC at HOU,LAC at CLE,MIN at MIA,NO at ARI,MIA at DET,MIA at CHI,JAC at KC,LAR at NO,LV at SEA,MIA at SF,MIN at DET,LAR at GB,LV at PIT,JAC at HOU,LAR at SEA
9,NE at MIA,MIN at PHI,KC at IND,MIA at CIN,MIA at NYJ,NE at CLE,NYG at JAC,NE at NYJ,MIN at WAS,LAC at SF,NYJ at NE,LAR at KC,NO at TB,NE at ARI,MIA at BUF,LAC at IND,LAR at LAC,LAC at DEN
10,NO at ATL,NE at PIT,LV at TEN,MIN at NO,NYG at GB,NYJ at GB,NYJ at DEN,NYG at SEA,PHI at HOU,MIN at BUF,PHI at IND,LAC at ARI,NYJ at MIN,NYJ at BUF,NE at LV,NO at CLE,MIA at NE,MIN at CHI
11,NYG at TEN,NYJ at CLE,LAR at ARI,NE at GB,PHI at ARI,SF at ATL,PIT at MIA,PIT at PHI,SEA at ARI,NO at PIT,SF at ARI,NE at MIN,PIT at ATL,PHI at NYG,NYG at WAS,NYG at MIN,MIN at GB,NE at BUF
12,PHI at DET,SEA at SF,NO at CAR,NYJ at PIT,PIT at BUF,TB at PIT,SEA at LAC,SF at LAR,TEN at KC,SEA at TB,TEN at GB,NO at SF,SEA at LAR,TB at SF,PHI at CHI,PHI at DAL,NO at PHI,NYG at PHI
13,PIT at CIN,TB at NO,PHI at WAS,SEA at DET,SF at CAR,WAS at CHI,TB at CAR,TEN at HOU,0,WAS at PHI,WAS at HOU,NYG at DAL,TEN at PHI,0,PIT at CAR,SEA at KC,NYJ at SEA,NYJ at MIA
14,SF at CHI,TEN at BUF,PIT at CLE,TEN at IND,SEA at NO,0,0,WAS at IND,0,0,0,PIT at IND,WAS at NYG,0,SF at SEA,TB at ARI,PIT at BAL,TB at ATL
15,TB at DAL,WAS at DET,SF at DEN,WAS at DAL,TEN at WAS,0,0,0,0,0,0,TB at CLE,0,0,TEN at LAC,WAS at SF,SF at LV,TEN at JAC
